Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Switzerland,206.23,138.05,68.21,67.95,143.88,7.05,24.55,26.8,-
2,United States,195.55,132.91,49.85,68.58,77.39,2.43,37.13,35.13,-
3,Germany,192.69,112.28,72.86,75.26,87.14,5.6,36.07,30.2,-
4,Sweden,180.92,106.11,61.72,75.22,103.68,9.41,34.07,17.51,-
5,Finland,178.88,97.9,70.84,68.69,103.28,7.83,37,16.68,-
6,Denmark,178.55,100.66,70.73,85.62,114.87,6.37,25,34.76,-
7,Canada,178.29,105.53,63.71,71.94,87.9,5.57,39.17,27.7,-
8,Australia,175.98,104.2,58.77,73.55,108.51,7.44,36.25,19.38,-
9,United Arab Emirates,173.27,110.64,79.21,60.65,68.25,5.26,28.2,53.84,-
10,Austria,171.82,91.53,74.17,79.67,89.5,9.17,24.5,31.68,-
11,New Zealand,168.56,87.58,57.15,77.83,104.48,5.3,26.57,21.02,-
12,Japan,168.47,99.64,81.9,85.03,94.13,8.34,47.64,40.78,-
13,Norway,168.41,94.4,66.27,75.71,144.45,7.42,24.5,22.57,-
14,Netherlands,160.98,97.54,62.93,66.17,98.82,6.08,35.06,32.4,-
15,United Kingdom,150.97,94.34,57.38,73.52,100.11,7.74,37.68,33.81,-
16,Estonia,145.4,48.67,70.93,76.34,67.33,10.19,24.71,13.43,-
17,Ireland,142.35,94.64,46.41,42.57,106.61,5.74,22.53,29.32,-
18,Kuwait,141.37,92.46,63.56,66.2,74.08,6.78,17,59.99,-
19,Saudi Arabia,139.88,100.03,70.62,50.42,68.14,3.25,23.33,71.54,-
20,France,136.31,92.29,52.72,82.28,100.21,10.32,28.1,46.92,-
21,Belgium,134.71,87.93,58.47,78.04,100.04,5.98,25.96,56.16,-
22,Slovenia,125.56,60.36,66.79,61.31,75.37,11.09,20.67,32.97,-
23,Portugal,124.71,54.65,64.94,64.8,69.3,8.41,28.91,30.9,-
24,Puerto Rico,123.64,85.28,40.7,59.93,76.5,5.1,28.4,47.41,-
25,Spain,123.64,72.48,67.58,75.17,77.18,10.45,32.03,49.76,-
26,Czech Republic,122.99,62.32,66.12,66.27,56.59,10.43,33.08,38.34,-
27,Lithuania,121.91,43.24,65.29,69.26,59.96,12.91,22,21.13,-
28,South Korea,117.9,80.63,83.65,79.17,87.56,11.35,31.2,74.24,-
29,Taiwan,114.06,82.31,78.53,78.33,60.2,17.33,27.6,70.81,-
30,South Africa,111.61,95.97,21.47,59.44,48.55,3.45,41.31,57.93,-
31,Slovakia,108.74,52.41,67.28,63.52,61.5,9.51,37.5,40.81,-
32,Croatia,108.7,48.32,71.1,55.94,69.04,13.37,33.35,28.69,-
33,Poland,95.19,57.6,62.47,54.83,53.68,11.37,35.32,50.54,-
34,Uruguay,91.94,39.64,53.36,59.58,77.36,11.6,45,21.33,-
35,Israel,91.16,69.29,66.72,75.43,91.45,12.83,46.38,63.75,-
36,Italy,90.61,75.39,54.41,65.05,96.81,12.15,38.05,60.42,-
37,Malaysia,89.05,70.46,33.59,69.35,48.66,8.04,38.7,61.12,-
38,Singapore,87.99,64.11,78.65,61.82,100.01,22.59,47.82,41.93,-
39,Mexico,83.47,60.46,47.54,70.64,46.96,6.47,38.96,71.17,-
40,Hungary,83.18,44.89,62.48,46.58,59.27,9.63,34.83,48.33,-
41,Argentina,81.12,57.08,42.52,76.75,66.85,8.95,45,57.45,-
42,India,78.01,62.33,56.3,64.62,26.7,10.16,47.72,74.34,-
43,Greece,77.48,44.27,56.95,59.02,83.79,11.74,36.98,45.28,-
44,Bosnia And Herzegovina,74.6,44.52,55.02,54.42,49.76,11.97,22.56,58.22,-
45,Belarus,74.43,33.93,67.11,48.02,50.35,16.81,24.83,42.72,-
46,Hong Kong,73.24,71.39,77.32,71.83,76.36,27.06,47.73,63.79,-
47,Chile,69.32,58.27,52.91,58.68,60.16,9.45,42.1,70.98,-
48,Serbia,69.31,37.39,60.72,54.35,51.57,16.86,24.38,49.56,-
49,Turkey,67.82,55.79,60.05,57.54,49.93,6.86,51.93,77.11,-
50,Romania,63.27,36.51,71.27,47.27,48.2,13.24,33.29,62.55,-
51,Bulgaria,62.6,37.39,59.98,58.04,49.96,9.87,34.69,66.72,-
52,Thailand,56.64,36.96,62.44,85.44,45.95,19.07,32.82,71.13,-
53,Ecuador,42.25,27.03,40.03,59.39,45.23,12.7,42.8,53.66,-
54,Kazakhstan,40.64,37.29,50.59,60.19,63.15,11.35,40,74.36,-
55,Jordan,39.54,38.3,52.42,74.1,61.46,7.95,60.2,81.84,-
56,Brazil,38.76,43.29,33,53.72,60.6,14.96,43.02,57.58,-
57,Colombia,36.53,33.45,41.46,68.52,50.37,14.23,46.15,65.67,-
58,China,30.3,43.73,69.87,65.12,54.12,26.13,31.17,84.72,-
59,Philippines,28.09,29.97,58.1,69.84,40.28,18.78,49.78,74.88,-
60,Pakistan,22.32,31.53,36.25,50.4,29.69,13.92,25.12,80.25,-
61,Ukraine,22.22,31,50.63,47.1,45.64,15.95,41.89,73.32,-
62,Indonesia,21.85,26.44,53.33,60.23,39,18.79,41.07,73.78,-
63,Lebanon,18.39,41.86,49.9,55.36,70.15,18.3,32.43,86.72,-
64,Russia,16.53,37.3,47.33,43.45,61.8,14.67,49.69,76.45,-
65,Egypt,5.41,25.57,47.57,61.3,38.26,11.09,60.83,91.23,-
66,Iran,-11.08,30.33,44.99,48.6,49.51,20.63,54.45,86.07,-
67,Mongolia,-26.75,25.59,33.77,27.23,57.36,15.7,36.86,94.98,-
68,Venezuela,-39.32,17.87,18.5,41.05,114.36,20.19,38.75,73.96,-
Showing 1 to 68 of 68 entries,,,,,,,,,,
