,Country,Code,Year,"Female (deaths per 100,000)","Male (deaths per 100,000)","Both sexes (deaths per 100,000)",Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
198,Serbia,SRB,2013,6.18,21.75,13.508248769962346,48,63.68,37.01,58.77,55.55,51.13,17.22,25.48,52.79,-
199,Serbia,SRB,2014,6.16,21.47,13.390715234260538,48,69.31,37.39,60.72,54.35,51.57,16.86,24.38,49.56,-
200,Serbia,SRB,2015,6.14,21.67,13.494978350987756,58,60.34,39.15,56.57,54.12,43.29,17.07,27.79,56.6,-
201,Serbia,SRB,2016,5.97,20.61,12.902643478888356,37,138.26,49.62,56.72,55.88,33.56,16.59,28.37,55.14,83.89
202,Singapore,SGP,2013,5.14,11.4,8.123986285031329,47,69.17,60.86,80.02,58.82,104.14,25.12,51.1,49.5,-
203,Singapore,SGP,2014,5.04,10.95,7.844479423452946,38,87.99,64.11,78.65,61.82,100.01,22.59,47.82,41.93,-
204,Singapore,SGP,2015,5.04,10.51,7.639595851203839,34,111.29,75.4,82.41,66.14,93.61,21.41,44.07,40.4,-
205,Singapore,SGP,2016,4.83,10.27,7.404878043156287,49,93.09,110.5,84.19,69.06,83.67,23.17,43.43,38.83,-66.63
206,Slovakia,SVK,2013,2.99,18.49,10.363238656646633,30,114.58,54.24,64.84,59.95,62.69,7.91,41.0,34.4,-
207,Slovakia,SVK,2014,2.92,18.35,10.266457589991568,31,108.74,52.41,67.28,63.52,61.5,9.51,37.5,40.81,-
208,Slovakia,SVK,2015,2.96,18.54,10.396737279772763,37,109.09,56.05,66.66,57.34,51.6,8.58,30.4,47.94,-
209,Slovenia,SVN,2013,5.43,25.89,15.22968184179059,24,133.62,60.1,70.4,72.11,78.15,12.1,24.67,28.17,-
210,Slovenia,SVN,2014,4.8,23.92,13.974757957232821,22,125.56,60.36,66.79,61.31,75.37,11.09,20.67,32.97,-
211,Slovenia,SVN,2015,4.88,25.09,14.617220910231225,25,134.49,64.16,71.29,53.93,65.15,10.61,18.82,31.45,-
212,Slovenia,SVN,2016,4.73,24.82,14.441215653947516,17,175.93,89.76,73.73,58.47,52.19,9.72,25.0,28.2,62.46
213,South Africa,ZAF,2013,4.96,18.3,11.143087715863004,25,123.77,107.37,23.32,61.33,59.51,3.21,38.91,58.99,-
214,South Africa,ZAF,2014,4.7,17.82,10.796798370158568,30,111.61,95.97,21.47,59.44,48.55,3.45,41.31,57.93,-
215,South Africa,ZAF,2015,4.62,17.81,10.76018558440449,35,110.92,101.78,21.56,60.09,45.58,3.14,42.98,65.19,-
216,South Africa,ZAF,2016,4.57,18.16,10.923957931364848,28,156.7,126.1,21.57,59.58,34.75,3.34,43.18,63.29,91.42
217,South Korea,KOR,2013,14.55,36.99,24.838925382357093,23,135.62,95.57,82.6,80.56,79.71,12.46,21.5,75.57,-
218,South Korea,KOR,2014,13.6,35.11,23.51897906219467,28,117.9,80.63,83.65,79.17,87.56,11.35,31.2,74.24,-
219,South Korea,KOR,2015,12.95,33.42,22.389016049764123,31,120.03,85.83,82.01,78.15,82.9,11.01,31.33,77.11,-
220,South Korea,KOR,2016,12.31,31.66,21.229137021009603,21,170.29,120.64,85.69,78.97,73.18,14.87,30.93,49.65,51.35
221,Spain,ESP,2013,2.72,9.15,5.806200971272358,21,141.05,83.67,65.88,75.61,79.25,9.63,26.42,46.52,-
222,Spain,ESP,2014,2.73,9.14,5.801235553705144,25,123.64,72.48,67.58,75.17,77.18,10.45,32.03,49.76,-
223,Spain,ESP,2015,2.77,9.21,5.85389317910554,24,134.91,76.71,66.15,73.21,65.7,9.56,28.91,46.3,-
224,Spain,ESP,2016,2.65,8.81,5.592000067629983,9,186.41,105.31,68.23,75.89,56.11,8.06,30.52,46.58,90.8
225,Sri Lanka,LKA,2015,7.75,34.44,20.027883472114414,59,49.87,28.24,50.04,74.29,41.66,14.29,30.83,65.72,-
226,Sweden,SWE,2013,7.01,16.55,11.759238018690437,4,191.36,108.25,68.19,78.7,110.72,8.75,27.9,18.79,-
227,Sweden,SWE,2014,6.93,16.43,11.659157111173249,4,180.92,106.11,61.72,75.22,103.68,9.41,34.07,17.51,-
228,Sweden,SWE,2015,6.59,16.66,11.618377357336753,3,193.86,110.95,57.91,76.29,82.91,9.25,26.9,15.14,-
229,Sweden,SWE,2016,6.49,16.01,11.249797312254262,10,185.81,128.22,56.88,74.33,75.7,11.19,32.05,18.3,61.8
230,Switzerland,CHE,2013,5.68,16.28,10.786831539057019,1,215.71,138.2,72.42,71.98,146.98,6.25,25.87,22.97,-
231,Switzerland,CHE,2014,5.36,15.6,10.295180992191256,1,206.23,138.05,68.21,67.95,143.88,7.05,24.55,26.8,-
232,Switzerland,CHE,2015,5.09,15.16,9.95626622366707,1,222.94,146.51,73.23,66.31,126.03,7.28,25.63,24.07,-
233,Switzerland,CHE,2016,4.97,14.23,9.442203558834024,1,208.54,178.74,74.27,68.88,123.1,8.57,28.73,23.02,70.5
234,Taiwan,TWN,2013,8.98,18.57,13.68962324079083,27,120.57,74.17,83.74,81.25,66.76,9.02,38.33,71.48,-
235,Taiwan,TWN,2014,8.96,18.45,13.615883130593565,29,114.06,82.31,78.53,78.33,60.2,17.33,27.6,70.81,-
236,Taiwan,TWN,2015,8.55,18.01,13.180563476547006,43,92.5,69.9,78.12,84.29,57.06,24.97,28.25,67.65,-
237,Thailand,THA,2013,4.24,15.87,9.911234388555453,51,54.08,35.44,59.47,94.73,51.3,18.33,38.57,72.12,-
238,Thailand,THA,2014,4.08,16.14,9.966114708486092,52,56.64,36.96,62.44,85.44,45.95,19.07,32.82,71.13,-
239,Thailand,THA,2015,3.95,16.42,10.035679944971431,62,47.37,38.75,62.94,82.47,46.52,20.76,42.36,72.81,-
240,Thailand,THA,2016,3.97,16.94,10.303199052900363,55,63.83,40.06,57.44,80.8,40.02,24.38,43.09,71.51,-23.25
241,Turkey,TUR,2013,1.48,5.07,3.243146767260504,42,74.84,57.26,64.8,71.87,61.67,6.19,50.47,82.0,-
242,Turkey,TUR,2014,1.48,5.29,3.3482558606303328,49,67.82,55.79,60.05,57.54,49.93,6.86,51.93,77.11,-
243,Turkey,TUR,2015,1.42,5.33,3.3447611773285373,50,82.55,53.63,63.6,74.0,49.55,6.7,46.32,74.31,-
244,Turkey,TUR,2016,1.37,5.4,3.3491881297663393,38,137.31,64.12,60.57,73.03,45.07,8.07,48.05,65.75,74.22
245,Turkmenistan,TKM,2015,3.68,13.14,8.507998805861027,15,157.09,59.75,82.14,77.22,38.12,12.96,11.75,28.45,-
246,Ukraine,UKR,2013,5.99,36.41,19.951833070513874,57,31.86,32.3,51.05,47.89,47.95,15.42,39.91,67.28,-
247,Ukraine,UKR,2014,5.95,36.65,20.112420914020497,61,22.22,31.0,50.63,47.1,45.64,15.95,41.89,73.32,-
248,Ukraine,UKR,2015,7.46,52.4,28.421394525712003,75,20.1,27.87,50.64,44.27,41.29,17.38,40.04,69.85,-
249,Ukraine,UKR,2016,7.19,51.7,27.966062940371817,52,85.56,29.66,51.38,49.69,28.56,26.16,39.95,67.84,50.4
250,United Arab Emirates,ARE,2013,1.87,6.44,5.174148397436809,6,186.01,123.85,81.99,59.92,74.12,4.43,24.5,58.37,-
251,United Arab Emirates,ARE,2014,1.86,6.45,5.1631823989009575,9,173.27,110.64,79.21,60.65,68.25,5.26,28.2,53.84,-
252,United Arab Emirates,ARE,2015,1.84,6.46,5.149067464470691,18,153.68,104.59,77.78,55.6,67.16,6.16,29.9,61.34,-
253,United Arab Emirates,ARE,2016,1.82,6.44,5.113126558771342,33,144.09,136.43,76.92,58.2,66.09,5.43,33.69,59.54,5.91
254,United Kingdom,GBR,2013,3.2,11.3,7.192882640531971,19,148.12,90.54,60.22,71.28,96.99,6.73,38.67,36.02,-
255,United Kingdom,GBR,2014,3.26,11.14,7.147944688299214,15,150.97,94.34,57.38,73.52,100.11,7.74,37.68,33.81,-
256,United Kingdom,GBR,2015,3.33,11.31,7.272896366630384,16,156.9,98.12,57.99,73.88,92.19,8.63,34.0,33.95,-
257,United Kingdom,GBR,2016,3.36,11.46,7.368399813978432,14,180.25,120.0,56.87,74.03,81.03,9.28,35.53,35.02,81.6
258,United States,USA,2013,5.54,18.9,12.038785325633947,3,199.56,138.38,46.56,67.76,79.57,2.2,39.54,32.53,-
259,United States,USA,2014,5.65,19.09,12.193175870606275,2,195.55,132.91,49.85,68.58,77.39,2.43,37.13,35.13,-
260,United States,USA,2015,5.75,19.61,12.505123341338336,4,192.49,126.09,49.99,67.75,76.53,2.62,35.96,31.45,-
261,United States,USA,2016,5.77,20.26,12.841485298546411,12,183.96,139.17,51.13,67.76,74.08,3.37,33.35,34.94,67.57
262,Uruguay,URY,2013,6.83,28.85,17.092572990325234,41,78.34,38.14,55.03,57.18,80.65,11.54,50.0,30.46,-
263,Uruguay,URY,2014,6.8,28.44,16.880856677026,34,91.94,39.64,53.36,59.58,77.36,11.6,45.0,21.33,-
264,Uruguay,URY,2015,6.88,28.87,17.11911239815323,42,93.06,44.87,52.83,67.92,68.55,11.23,45.0,31.72,-
265,Venezuela,VEN,2013,2.09,14.94,8.39451263028913,67,-48.27,18.71,14.3,44.44,110.55,20.78,38.75,81.89,-
266,Venezuela,VEN,2014,2.09,15.06,8.44563460831302,68,-39.32,17.87,18.5,41.05,114.36,20.19,38.75,73.96,-
267,Venezuela,VEN,2015,2.07,15.24,8.5241992254952,86,-53.04,11.9,15.93,38.52,111.01,22.23,30.6,79.19,-
268,Vietnam,VNM,2015,4.57,10.71,7.481462725231906,84,-19.52,21.32,47.71,34.26,41.86,23.92,36.4,84.34,-
